Lexical Analysis Log
User: DavidlunaT
File: algoritmo1.cs
Date: 11-07-2025-16h52

=== TOKENS ===
USING             'using'                        (line 1)
IDENTIFIER        'System'                       (line 1)
SEMICOLON         ';'                            (line 1)
CLASS             'class'                        (line 3)
IDENTIFIER        'SimpleCalculator'             (line 3)
OPEN_BRACE        '{'                            (line 4)
STATIC            'static'                       (line 5)
VOID              'void'                         (line 5)
IDENTIFIER        'Main'                         (line 5)
OPEN_PAREN        '('                            (line 5)
STRING_TYPE       'string'                       (line 5)
OPEN_BRACKET      '['                            (line 5)
CLOSE_BRACKET     ']'                            (line 5)
IDENTIFIER        'args'                         (line 5)
CLOSE_PAREN       ')'                            (line 5)
OPEN_BRACE        '{'                            (line 6)
CONSOLE           'Console'                      (line 7)
DOT               '.'                            (line 7)
WRITELINE         'WriteLine'                    (line 7)
OPEN_PAREN        '('                            (line 7)
STRING            'Simple Calculator - Add or Subtract' (line 7)
CLOSE_PAREN       ')'                            (line 7)
SEMICOLON         ';'                            (line 7)
CONSOLE           'Console'                      (line 8)
DOT               '.'                            (line 8)
WRITE             'Write'                        (line 8)
OPEN_PAREN        '('                            (line 8)
STRING            'Enter first number: '         (line 8)
CLOSE_PAREN       ')'                            (line 8)
SEMICOLON         ';'                            (line 8)
INT_TYPE          'int'                          (line 9)
IDENTIFIER        'num1'                         (line 9)
ASSIGN            '='                            (line 9)
CONVERT           'Convert'                      (line 9)
DOT               '.'                            (line 9)
TOINT32           'ToInt32'                      (line 9)
OPEN_PAREN        '('                            (line 9)
CONSOLE           'Console'                      (line 9)
DOT               '.'                            (line 9)
READLINE          'ReadLine'                     (line 9)
OPEN_PAREN        '('                            (line 9)
CLOSE_PAREN       ')'                            (line 9)
CLOSE_PAREN       ')'                            (line 9)
SEMICOLON         ';'                            (line 9)
CONSOLE           'Console'                      (line 12)
DOT               '.'                            (line 12)
WRITE             'Write'                        (line 12)
OPEN_PAREN        '('                            (line 12)
STRING            'Enter second number: '        (line 12)
CLOSE_PAREN       ')'                            (line 12)
SEMICOLON         ';'                            (line 12)
INT_TYPE          'int'                          (line 13)
IDENTIFIER        'num2'                         (line 13)
ASSIGN            '='                            (line 13)
